Ctyname,stname,ststatus,stcode,ctycode,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Cases2020,cases2021,cases2022,cases2023
Autauga County,Alabama,Low Incidence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Baldwin County,Alabama,Low Incidence,1,3,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,0,3,2,5
Barbour County,Alabama,Low Incidence,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Bibb County,Alabama,Low Incidence,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
Blount County,Alabama,Low Incidence,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,2
Bullock County,Alabama,Low Incidence,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Butler County,Alabama,Low Incidence,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Alabama,Low Incidence,1,15,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3,0,2,1,1
Chambers County,Alabama,Low Incidence,1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0
Cherokee County,Alabama,Low Incidence,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton County,Alabama,Low Incidence,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1
Choctaw County,Alabama,Low Incidence,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clarke County,Alabama,Low Incidence,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Alabama,Low Incidence,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Cleburne County,Alabama,Low Incidence,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Coffee County,Alabama,Low Incidence,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2
Colbert County,Alabama,Low Incidence,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Conecuh County,Alabama,Low Incidence,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coosa County,Alabama,Low Incidence,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Covington County,Alabama,Low Incidence,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
Crenshaw County,Alabama,Low Incidence,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullman County,Alabama,Low Incidence,1,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0
Dale County,Alabama,Low Incidence,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0
Dallas County,Alabama,Low Incidence,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
DeKalb County,Alabama,Low Incidence,1,49,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,5,1,2,0,2
Elmore County,Alabama,Low Incidence,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,1,0,0
Escambia County,Alabama,Low Incidence,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Etowah County,Alabama,Low Incidence,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
